행정구역,2023년12월_전월인구수_남자인구수,2023년12월_전월인구수_여자인구수,2023년12월_전월인구수_계,2023년12월_당월인구수_남자인구수,2023년12월_당월인구수_여자인구수,2023년12월_당월인구수_계,2023년12월_인구증감_남자인구수,2023년12월_인구증감_여자인구수,2023년12월_인구증감_계,2024년01월_전월인구수_남자인구수,2024년01월_전월인구수_여자인구수,2024년01월_전월인구수_계,2024년01월_당월인구수_남자인구수,2024년01월_당월인구수_여자인구수,2024년01월_당월인구수_계,2024년01월_인구증감_남자인구수,2024년01월_인구증감_여자인구수,2024년01월_인구증감_계,2024년02월_전월인구수_남자인구수,2024년02월_전월인구수_여자인구수,2024년02월_전월인구수_계,2024년02월_당월인구수_남자인구수,2024년02월_당월인구수_여자인구수,2024년02월_당월인구수_계,2024년02월_인구증감_남자인구수,2024년02월_인구증감_여자인구수,2024년02월_인구증감_계,2024년03월_전월인구수_남자인구수,2024년03월_전월인구수_여자인구수,2024년03월_전월인구수_계,2024년03월_당월인구수_남자인구수,2024년03월_당월인구수_여자인구수,2024년03월_당월인구수_계,2024년03월_인구증감_남자인구수,2024년03월_인구증감_여자인구수,2024년03월_인구증감_계,2024년04월_전월인구수_남자인구수,2024년04월_전월인구수_여자인구수,2024년04월_전월인구수_계,2024년04월_당월인구수_남자인구수,2024년04월_당월인구수_여자인구수,2024년04월_당월인구수_계,2024년04월_인구증감_남자인구수,2024년04월_인구증감_여자인구수,2024년04월_인구증감_계,2024년05월_전월인구수_남자인구수,2024년05월_전월인구수_여자인구수,2024년05월_전월인구수_계,2024년05월_당월인구수_남자인구수,2024년05월_당월인구수_여자인구수,2024년05월_당월인구수_계,2024년05월_인구증감_남자인구수,2024년05월_인구증감_여자인구수,2024년05월_인구증감_계,2024년06월_전월인구수_남자인구수,2024년06월_전월인구수_여자인구수,2024년06월_전월인구수_계,2024년06월_당월인구수_남자인구수,2024년06월_당월인구수_여자인구수,2024년06월_당월인구수_계,2024년06월_인구증감_남자인구수,2024년06월_인구증감_여자인구수,2024년06월_인구증감_계,2024년07월_전월인구수_남자인구수,2024년07월_전월인구수_여자인구수,2024년07월_전월인구수_계,2024년07월_당월인구수_남자인구수,2024년07월_당월인구수_여자인구수,2024년07월_당월인구수_계,2024년07월_인구증감_남자인구수,2024년07월_인구증감_여자인구수,2024년07월_인구증감_계,2024년08월_전월인구수_남자인구수,2024년08월_전월인구수_여자인구수,2024년08월_전월인구수_계,2024년08월_당월인구수_남자인구수,2024년08월_당월인구수_여자인구수,2024년08월_당월인구수_계,2024년08월_인구증감_남자인구수,2024년08월_인구증감_여자인구수,2024년08월_인구증감_계,2024년09월_전월인구수_남자인구수,2024년09월_전월인구수_여자인구수,2024년09월_전월인구수_계,2024년09월_당월인구수_남자인구수,2024년09월_당월인구수_여자인구수,2024년09월_당월인구수_계,2024년09월_인구증감_남자인구수,2024년09월_인구증감_여자인구수,2024년09월_인구증감_계,2024년10월_전월인구수_남자인구수,2024년10월_전월인구수_여자인구수,2024년10월_전월인구수_계,2024년10월_당월인구수_남자인구수,2024년10월_당월인구수_여자인구수,2024년10월_당월인구수_계,2024년10월_인구증감_남자인구수,2024년10월_인구증감_여자인구수,2024년10월_인구증감_계,2024년11월_전월인구수_남자인구수,2024년11월_전월인구수_여자인구수,2024년11월_전월인구수_계,2024년11월_당월인구수_남자인구수,2024년11월_당월인구수_여자인구수,2024년11월_당월인구수_계,2024년11월_인구증감_남자인구수,2024년11월_인구증감_여자인구수,2024년11월_인구증감_계,2024년12월_전월인구수_남자인구수,2024년12월_전월인구수_여자인구수,2024년12월_전월인구수_계,2024년12월_당월인구수_남자인구수,2024년12월_당월인구수_여자인구수,2024년12월_당월인구수_계,2024년12월_인구증감_남자인구수,2024년12월_인구증감_여자인구수,2024년12월_인구증감_계,2025년01월_전월인구수_남자인구수,2025년01월_전월인구수_여자인구수,2025년01월_전월인구수_계,2025년01월_당월인구수_남자인구수,2025년01월_당월인구수_여자인구수,2025년01월_당월인구수_계,2025년01월_인구증감_남자인구수,2025년01월_인구증감_여자인구수,2025년01월_인구증감_계,2025년02월_전월인구수_남자인구수,2025년02월_전월인구수_여자인구수,2025년02월_전월인구수_계,2025년02월_당월인구수_남자인구수,2025년02월_당월인구수_여자인구수,2025년02월_당월인구수_계,2025년02월_인구증감_남자인구수,2025년02월_인구증감_여자인구수,2025년02월_인구증감_계,2025년03월_전월인구수_남자인구수,2025년03월_전월인구수_여자인구수,2025년03월_전월인구수_계,2025년03월_당월인구수_남자인구수,2025년03월_당월인구수_여자인구수,2025년03월_당월인구수_계,2025년03월_인구증감_남자인구수,2025년03월_인구증감_여자인구수,2025년03월_인구증감_계,2025년04월_전월인구수_남자인구수,2025년04월_전월인구수_여자인구수,2025년04월_전월인구수_계,2025년04월_당월인구수_남자인구수,2025년04월_당월인구수_여자인구수,2025년04월_당월인구수_계,2025년04월_인구증감_남자인구수,2025년04월_인구증감_여자인구수,2025년04월_인구증감_계,2025년05월_전월인구수_남자인구수,2025년05월_전월인구수_여자인구수,2025년05월_전월인구수_계,2025년05월_당월인구수_남자인구수,2025년05월_당월인구수_여자인구수,2025년05월_당월인구수_계,2025년05월_인구증감_남자인구수,2025년05월_인구증감_여자인구수,2025년05월_인구증감_계,2025년06월_전월인구수_남자인구수,2025년06월_전월인구수_여자인구수,2025년06월_전월인구수_계,2025년06월_당월인구수_남자인구수,2025년06월_당월인구수_여자인구수,2025년06월_당월인구수_계,2025년06월_인구증감_남자인구수,2025년06월_인구증감_여자인구수,2025년06월_인구증감_계,2025년07월_전월인구수_남자인구수,2025년07월_전월인구수_여자인구수,2025년07월_전월인구수_계,2025년07월_당월인구수_남자인구수,2025년07월_당월인구수_여자인구수,2025년07월_당월인구수_계,2025년07월_인구증감_남자인구수,2025년07월_인구증감_여자인구수,2025년07월_인구증감_계,2025년08월_전월인구수_남자인구수,2025년08월_전월인구수_여자인구수,2025년08월_전월인구수_계,2025년08월_당월인구수_남자인구수,2025년08월_당월인구수_여자인구수,2025년08월_당월인구수_계,2025년08월_인구증감_남자인구수,2025년08월_인구증감_여자인구수,2025년08월_인구증감_계,2025년09월_전월인구수_남자인구수,2025년09월_전월인구수_여자인구수,2025년09월_전월인구수_계,2025년09월_당월인구수_남자인구수,2025년09월_당월인구수_여자인구수,2025년09월_당월인구수_계,2025년09월_인구증감_남자인구수,2025년09월_인구증감_여자인구수,2025년09월_인구증감_계,2025년10월_전월인구수_남자인구수,2025년10월_전월인구수_여자인구수,2025년10월_전월인구수_계,2025년10월_당월인구수_남자인구수,2025년10월_당월인구수_여자인구수,2025년10월_당월인구수_계,2025년10월_인구증감_남자인구수,2025년10월_인구증감_여자인구수,2025년10월_인구증감_계,2025년11월_전월인구수_남자인구수,2025년11월_전월인구수_여자인구수,2025년11월_전월인구수_계,2025년11월_당월인구수_남자인구수,2025년11월_당월인구수_여자인구수,2025년11월_당월인구수_계,2025년11월_인구증감_남자인구수,2025년11월_인구증감_여자인구수,2025년11월_인구증감_계,2025년12월_전월인구수_남자인구수,2025년12월_전월인구수_여자인구수,2025년12월_전월인구수_계,2025년12월_당월인구수_남자인구수,2025년12월_당월인구수_여자인구수,2025년12월_당월인구수_계,2025년12월_인구증감_남자인구수,2025년12월_인구증감_여자인구수,2025년12월_인구증감_계
인천광역시 중구 (2811000000),"82,179","76,409","158,588","82,334","76,624","158,958",155,215,370,"82,334","76,624","158,958","82,604","76,877","159,481",270,253,523,"82,604","76,877","159,481","83,627","77,942","161,569","1,023","1,065","2,088","83,627","77,942","161,569","84,030","78,339","162,369",403,397,800,"84,030","78,339","162,369","84,177","78,612","162,789",147,273,420,"84,177","78,612","162,789","84,411","78,785","163,196",234,173,407,"84,411","78,785","163,196","84,907","79,222","164,129",496,437,933,"84,907","79,222","164,129","85,158","79,564","164,722",251,342,593,"85,158","79,564","164,722","85,330","79,734","165,064",172,170,342,"85,330","79,734","165,064","85,536","79,884","165,420",206,150,356,"85,536","79,884","165,420","85,688","80,072","165,760",152,188,340,"85,688","80,072","165,760","86,001","80,353","166,354",313,281,594,"86,001","80,353","166,354","86,397","80,716","167,113",396,363,759,"86,397","80,716","167,113","87,070","81,201","168,271",673,485,"1,158","87,070","81,201","168,271","88,321","82,293","170,614","1,251","1,092","2,343","88,321","82,293","170,614","88,891","82,744","171,635",570,451,"1,021","88,891","82,744","171,635","89,164","82,947","172,111",273,203,476,"89,164","82,947","172,111","89,436","83,236","172,672",272,289,561,"89,436","83,236","172,672","89,736","83,449","173,185",300,213,513,"89,736","83,449","173,185","89,890","83,702","173,592",154,253,407,"89,890","83,702","173,592","90,082","83,920","174,002",192,218,410,"90,082","83,920","174,002","90,402","84,261","174,663",320,341,661,"90,402","84,261","174,663","90,802","84,548","175,350",400,287,687,"90,802","84,548","175,350","91,065","84,818","175,883",263,270,533,"91,065","84,818","175,883","91,366","85,101","176,467",301,283,584
인천광역시 동구 (2814000000),"29,920","29,775","59,695","29,805","29,677","59,482",-115,-98,-213,"29,805","29,677","59,482","29,718","29,607","59,325",-87,-70,-157,"29,718","29,607","59,325","29,654","29,524","59,178",-64,-83,-147,"29,654","29,524","59,178","29,584","29,489","59,073",-70,-35,-105,"29,584","29,489","59,073","29,501","29,430","58,931",-83,-59,-142,"29,501","29,430","58,931","29,447","29,409","58,856",-54,-21,-75,"29,447","29,409","58,856","29,413","29,348","58,761",-34,-61,-95,"29,413","29,348","58,761","29,382","29,284","58,666",-31,-64,-95,"29,382","29,284","58,666","29,360","29,252","58,612",-22,-32,-54,"29,360","29,252","58,612","29,339","29,210","58,549",-21,-42,-63,"29,339","29,210","58,549","29,312","29,144","58,456",-27,-66,-93,"29,312","29,144","58,456","29,263","29,119","58,382",-49,-25,-74,"29,263","29,119","58,382","29,218","29,078","58,296",-45,-41,-86,"29,218","29,078","58,296","29,143","29,019","58,162",-75,-59,-134,"29,143","29,019","58,162","29,029","28,864","57,893",-114,-155,-269,"29,029","28,864","57,893","28,929","28,809","57,738",-100,-55,-155,"28,929","28,809","57,738","28,820","28,716","57,536",-109,-93,-202,"28,820","28,716","57,536","28,733","28,636","57,369",-87,-80,-167,"28,733","28,636","57,369","28,692","28,568","57,260",-41,-68,-109,"28,692","28,568","57,260","28,619","28,506","57,125",-73,-62,-135,"28,619","28,506","57,125","28,522","28,416","56,938",-97,-90,-187,"28,522","28,416","56,938","28,425","28,339","56,764",-97,-77,-174,"28,425","28,339","56,764","28,360","28,302","56,662",-65,-37,-102,"28,360","28,302","56,662","28,295","28,279","56,574",-65,-23,-88,"28,295","28,279","56,574","28,236","28,241","56,477",-59,-38,-97
인천광역시 미추홀구 (2817700000),"203,729","201,258","404,987","204,247","201,748","405,995",518,490,"1,008","204,247","201,748","405,995","204,668","202,269","406,937",421,521,942,"204,668","202,269","406,937","204,811","202,306","407,117",143,37,180,"204,811","202,306","407,117","204,960","202,347","407,307",149,41,190,"204,960","202,347","407,307","205,475","202,800","408,275",515,453,968,"205,475","202,800","408,275","205,760","203,125","408,885",285,325,610,"205,760","203,125","408,885","205,928","203,335","409,263",168,210,378,"205,928","203,335","409,263","206,104","203,558","409,662",176,223,399,"206,104","203,558","409,662","206,236","203,716","409,952",132,158,290,"206,236","203,716","409,952","206,811","204,102","410,913",575,386,961,"206,811","204,102","410,913","207,343","204,652","411,995",532,550,"1,082","207,343","204,652","411,995","207,641","204,893","412,534",298,241,539,"207,641","204,893","412,534","207,449","204,825","412,274",-192,-68,-260,"207,449","204,825","412,274","207,592","205,029","412,621",143,204,347,"207,592","205,029","412,621","208,518","205,909","414,427",926,880,"1,806","208,518","205,909","414,427","209,135","206,479","415,614",617,570,"1,187","209,135","206,479","415,614","209,365","206,685","416,050",230,206,436,"209,365","206,685","416,050","209,604","206,966","416,570",239,281,520,"209,604","206,966","416,570","209,830","207,135","416,965",226,169,395,"209,830","207,135","416,965","210,204","207,563","417,767",374,428,802,"210,204","207,563","417,767","210,509","207,844","418,353",305,281,586,"210,509","207,844","418,353","210,515","207,910","418,425",6,66,72,"210,515","207,910","418,425","210,443","207,910","418,353",-72,0,-72,"210,443","207,910","418,353","210,191","207,743","417,934",-252,-167,-419,"210,191","207,743","417,934","209,946","207,632","417,578",-245,-111,-356
인천광역시 연수구 (2818500000),"194,367","197,567","391,934","194,599","197,817","392,416",232,250,482,"194,599","197,817","392,416","194,710","197,971","392,681",111,154,265,"194,710","197,971","392,681","194,832","198,127","392,959",122,156,278,"194,832","198,127","392,959","195,293","198,532","393,825",461,405,866,"195,293","198,532","393,825","195,602","198,819","394,421",309,287,596,"195,602","198,819","394,421","195,639","198,992","394,631",37,173,210,"195,639","198,992","394,631","195,831","199,229","395,060",192,237,429,"195,831","199,229","395,060","196,446","200,022","396,468",615,793,"1,408","196,446","200,022","396,468","197,122","200,828","397,950",676,806,"1,482","197,122","200,828","397,950","197,581","201,391","398,972",459,563,"1,022","197,581","201,391","398,972","197,915","201,794","399,709",334,403,737,"197,915","201,794","399,709","198,119","202,055","400,174",204,261,465,"198,119","202,055","400,174","198,116","202,097","400,213",-3,42,39,"198,116","202,097","400,213","198,189","202,272","400,461",73,175,248,"198,189","202,272","400,461","198,313","202,532","400,845",124,260,384,"198,313","202,532","400,845","199,040","203,112","402,152",727,580,"1,307","199,040","203,112","402,152","199,689","203,685","403,374",649,573,"1,222","199,689","203,685","403,374","200,199","204,172","404,371",510,487,997,"200,199","204,172","404,371","200,403","204,388","404,791",204,216,420,"200,403","204,388","404,791","200,646","204,734","405,380",243,346,589,"200,646","204,734","405,380","201,016","205,333","406,349",370,599,969,"201,016","205,333","406,349","201,829","206,004","407,833",813,671,"1,484","201,829","206,004","407,833","202,185","206,378","408,563",356,374,730,"202,185","206,378","408,563","202,490","206,674","409,164",305,296,601,"202,490","206,674","409,164","202,573","206,864","409,437",83,190,273
인천광역시 남동구 (2820000000),"245,116","248,443","493,559","244,530","247,885","492,415",-586,-558,"-1,144","244,530","247,885","492,415","244,140","247,520","491,660",-390,-365,-755,"244,140","247,520","491,660","243,757","247,216","490,973",-383,-304,-687,"243,757","247,216","490,973","243,474","246,916","490,390",-283,-300,-583,"243,474","246,916","490,390","243,005","246,474","489,479",-469,-442,-911,"243,005","246,474","489,479","242,687","246,251","488,938",-318,-223,-541,"242,687","246,251","488,938","242,456","245,980","488,436",-231,-271,-502,"242,456","245,980","488,436","242,398","245,785","488,183",-58,-195,-253,"242,398","245,785","488,183","242,221","245,666","487,887",-177,-119,-296,"242,221","245,666","487,887","242,019","245,550","487,569",-202,-116,-318,"242,019","245,550","487,569","241,690","245,435","487,125",-329,-115,-444,"241,690","245,435","487,125","241,482","245,181","486,663",-208,-254,-462,"241,482","245,181","486,663","241,220","245,005","486,225",-262,-176,-438,"241,220","245,005","486,225","240,980","244,722","485,702",-240,-283,-523,"240,980","244,722","485,702","240,339","244,014","484,353",-641,-708,"-1,349","240,339","244,014","484,353","240,050","243,779","483,829",-289,-235,-524,"240,050","243,779","483,829","239,768","243,469","483,237",-282,-310,-592,"239,768","243,469","483,237","239,525","243,218","482,743",-243,-251,-494,"239,525","243,218","482,743","239,370","243,177","482,547",-155,-41,-196,"239,370","243,177","482,547","239,160","242,968","482,128",-210,-209,-419,"239,160","242,968","482,128","238,993","242,785","481,778",-167,-183,-350,"238,993","242,785","481,778","238,730","242,482","481,212",-263,-303,-566,"238,730","242,482","481,212","238,439","242,270","480,709",-291,-212,-503,"238,439","242,270","480,709","238,165","242,147","480,312",-274,-123,-397,"238,165","242,147","480,312","238,057","242,090","480,147",-108,-57,-165
인천광역시 부평구 (2823700000),"241,706","249,193","490,899","243,292","250,846","494,138","1,586","1,653","3,239","243,292","250,846","494,138","243,992","251,635","495,627",700,789,"1,489","243,992","251,635","495,627","243,997","251,771","495,768",5,136,141,"243,997","251,771","495,768","243,726","251,489","495,215",-271,-282,-553,"243,726","251,489","495,215","243,479","251,271","494,750",-247,-218,-465,"243,479","251,271","494,750","243,311","251,174","494,485",-168,-97,-265,"243,311","251,174","494,485","243,170","251,051","494,221",-141,-123,-264,"243,170","251,051","494,221","242,957","250,900","493,857",-213,-151,-364,"242,957","250,900","493,857","242,814","250,809","493,623",-143,-91,-234,"242,814","250,809","493,623","242,543","250,710","493,253",-271,-99,-370,"242,543","250,710","493,253","242,251","250,504","492,755",-292,-206,-498,"242,251","250,504","492,755","241,947","250,246","492,193",-304,-258,-562,"241,947","250,246","492,193","242,457","250,743","493,200",510,497,"1,007","242,457","250,743","493,200","242,819","251,034","493,853",362,291,653,"242,819","251,034","493,853","242,667","251,054","493,721",-152,20,-132,"242,667","251,054","493,721","242,656","250,978","493,634",-11,-76,-87,"242,656","250,978","493,634","242,652","251,041","493,693",-4,63,59,"242,652","251,041","493,693","242,539","250,965","493,504",-113,-76,-189,"242,539","250,965","493,504","242,423","250,903","493,326",-116,-62,-178,"242,423","250,903","493,326","242,207","250,836","493,043",-216,-67,-283,"242,207","250,836","493,043","241,859","250,687","492,546",-348,-149,-497,"241,859","250,687","492,546","241,505","250,315","491,820",-354,-372,-726,"241,505","250,315","491,820","241,359","250,115","491,474",-146,-200,-346,"241,359","250,115","491,474","241,093","249,805","490,898",-266,-310,-576,"241,093","249,805","490,898","240,854","249,588","490,442",-239,-217,-456
인천광역시 계양구 (2824500000),"139,907","141,156","281,063","139,459","140,807","280,266",-448,-349,-797,"139,459","140,807","280,266","139,204","140,504","279,708",-255,-303,-558,"139,204","140,504","279,708","138,950","140,311","279,261",-254,-193,-447,"138,950","140,311","279,261","139,291","140,611","279,902",341,300,641,"139,291","140,611","279,902","139,726","141,068","280,794",435,457,892,"139,726","141,068","280,794","139,830","141,271","281,101",104,203,307,"139,830","141,271","281,101","139,903","141,405","281,308",73,134,207,"139,903","141,405","281,308","139,904","141,407","281,311",1,2,3,"139,904","141,407","281,311","139,947","141,365","281,312",43,-42,1,"139,947","141,365","281,312","139,830","141,342","281,172",-117,-23,-140,"139,830","141,342","281,172","139,644","141,219","280,863",-186,-123,-309,"139,644","141,219","280,863","139,536","141,087","280,623",-108,-132,-240,"139,536","141,087","280,623","139,318","140,909","280,227",-218,-178,-396,"139,318","140,909","280,227","139,075","140,610","279,685",-243,-299,-542,"139,075","140,610","279,685","138,680","140,304","278,984",-395,-306,-701,"138,680","140,304","278,984","138,468","140,045","278,513",-212,-259,-471,"138,468","140,045","278,513","138,343","139,876","278,219",-125,-169,-294,"138,343","139,876","278,219","138,232","139,737","277,969",-111,-139,-250,"138,232","139,737","277,969","138,152","139,550","277,702",-80,-187,-267,"138,152","139,550","277,702","137,978","139,343","277,321",-174,-207,-381,"137,978","139,343","277,321","137,949","139,210","277,159",-29,-133,-162,"137,949","139,210","277,159","138,199","139,466","277,665",250,256,506,"138,199","139,466","277,665","138,314","139,593","277,907",115,127,242,"138,314","139,593","277,907","138,212","139,518","277,730",-102,-75,-177,"138,212","139,518","277,730","138,177","139,544","277,721",-35,26,-9
인천광역시 서구 (2826000000),"314,024","309,232","623,256","314,541","309,817","624,358",517,585,"1,102","314,541","309,817","624,358","315,196","310,479","625,675",655,662,"1,317","315,196","310,479","625,675","315,846","311,267","627,113",650,788,"1,438","315,846","311,267","627,113","316,602","312,209","628,811",756,942,"1,698","316,602","312,209","628,811","317,121","312,804","629,925",519,595,"1,114","317,121","312,804","629,925","317,586","313,145","630,731",465,341,806,"317,586","313,145","630,731","317,662","313,287","630,949",76,142,218,"317,662","313,287","630,949","317,689","313,476","631,165",27,189,216,"317,689","313,476","631,165","317,765","313,691","631,456",76,215,291,"317,765","313,691","631,456","317,849","313,803","631,652",84,112,196,"317,849","313,803","631,652","317,996","314,045","632,041",147,242,389,"317,996","314,045","632,041","318,170","314,177","632,347",174,132,306,"318,170","314,177","632,347","319,008","315,056","634,064",838,879,"1,717","319,008","315,056","634,064","319,743","315,810","635,553",735,754,"1,489","319,743","315,810","635,553","320,820","316,911","637,731","1,077","1,101","2,178","320,820","316,911","637,731","321,498","317,510","639,008",678,599,"1,277","321,498","317,510","639,008","322,112","318,225","640,337",614,715,"1,329","322,112","318,225","640,337","323,236","319,338","642,574","1,124","1,113","2,237","323,236","319,338","642,574","324,136","320,240","644,376",900,902,"1,802","324,136","320,240","644,376","324,596","320,945","645,541",460,705,"1,165","324,596","320,945","645,541","325,124","321,579","646,703",528,634,"1,162","325,124","321,579","646,703","326,304","322,736","649,040","1,180","1,157","2,337","326,304","322,736","649,040","327,291","323,741","651,032",987,"1,005","1,992","327,291","323,741","651,032","328,203","324,533","652,736",912,792,"1,704","328,203","324,533","652,736","328,995","325,363","654,358",792,830,"1,622"
인천광역시 강화군 (2871000000),"34,597","34,476","69,073","34,566","34,439","69,005",-31,-37,-68,"34,566","34,439","69,005","34,553","34,460","69,013",-13,21,8,"34,553","34,460","69,013","34,487","34,438","68,925",-66,-22,-88,"34,487","34,438","68,925","34,467","34,474","68,941",-20,36,16,"34,467","34,474","68,941","34,487","34,431","68,918",20,-43,-23,"34,487","34,431","68,918","34,458","34,423","68,881",-29,-8,-37,"34,458","34,423","68,881","34,396","34,376","68,772",-62,-47,-109,"34,396","34,376","68,772","34,400","34,371","68,771",4,-5,-1,"34,400","34,371","68,771","34,397","34,355","68,752",-3,-16,-19,"34,397","34,355","68,752","34,467","34,424","68,891",70,69,139,"34,467","34,424","68,891","34,585","34,567","69,152",118,143,261,"34,585","34,567","69,152","34,644","34,655","69,299",59,88,147,"34,644","34,655","69,299","34,707","34,695","69,402",63,40,103,"34,707","34,695","69,402","34,719","34,720","69,439",12,25,37,"34,719","34,720","69,439","34,727","34,760","69,487",8,40,48,"34,727","34,760","69,487","34,748","34,694","69,442",21,-66,-45,"34,748","34,694","69,442","34,746","34,721","69,467",-2,27,25,"34,746","34,721","69,467","34,757","34,744","69,501",11,23,34,"34,757","34,744","69,501","34,794","34,768","69,562",37,24,61,"34,794","34,768","69,562","34,812","34,788","69,600",18,20,38,"34,812","34,788","69,600","34,829","34,807","69,636",17,19,36,"34,829","34,807","69,636","34,854","34,810","69,664",25,3,28,"34,854","34,810","69,664","34,809","34,808","69,617",-45,-2,-47,"34,809","34,808","69,617","34,838","34,834","69,672",29,26,55,"34,838","34,834","69,672","34,858","34,840","69,698",20,6,26
인천광역시 옹진군 (2872000000),"11,686","8,752","20,438","11,643","8,734","20,377",-43,-18,-61,"11,643","8,734","20,377","11,629","8,718","20,347",-14,-16,-30,"11,629","8,718","20,347","11,582","8,705","20,287",-47,-13,-60,"11,582","8,705","20,287","11,529","8,683","20,212",-53,-22,-75,"11,529","8,683","20,212","11,505","8,697","20,202",-24,14,-10,"11,505","8,697","20,202","11,489","8,680","20,169",-16,-17,-33,"11,489","8,680","20,169","11,511","8,663","20,174",22,-17,5,"11,511","8,663","20,174","11,515","8,677","20,192",4,14,18,"11,515","8,677","20,192","11,488","8,674","20,162",-27,-3,-30,"11,488","8,674","20,162","11,464","8,665","20,129",-24,-9,-33,"11,464","8,665","20,129","11,425","8,647","20,072",-39,-18,-57,"11,425","8,647","20,072","11,386","8,634","20,020",-39,-13,-52,"11,386","8,634","20,020","11,353","8,643","19,996",-33,9,-24,"11,353","8,643","19,996","11,285","8,617","19,902",-68,-26,-94,"11,285","8,617","19,902","11,237","8,562","19,799",-48,-55,-103,"11,237","8,562","19,799","11,228","8,568","19,796",-9,6,-3,"11,228","8,568","19,796","11,260","8,560","19,820",32,-8,24,"11,260","8,560","19,820","11,237","8,539","19,776",-23,-21,-44,"11,237","8,539","19,776","11,222","8,514","19,736",-15,-25,-40,"11,222","8,514","19,736","11,214","8,504","19,718",-8,-10,-18,"11,214","8,504","19,718","11,217","8,481","19,698",3,-23,-20,"11,217","8,481","19,698","11,222","8,446","19,668",5,-35,-30,"11,222","8,446","19,668","11,208","8,440","19,648",-14,-6,-20,"11,208","8,440","19,648","11,217","8,427","19,644",9,-13,-4,"11,217","8,427","19,644","11,224","8,412","19,636",7,-15,-8
광주광역시  (2900000000),"701,645","719,177","1,420,822","700,896","718,341","1,419,237",-749,-836,"-1,585","700,896","718,341","1,419,237","700,377","717,864","1,418,241",-519,-477,-996,"700,377","717,864","1,418,241","699,715","717,316","1,417,031",-662,-548,"-1,210","699,715","717,316","1,417,031","699,084","716,690","1,415,774",-631,-626,"-1,257","699,084","716,690","1,415,774","698,628","716,234","1,414,862",-456,-456,-912,"698,628","716,234","1,414,862","698,255","715,999","1,414,254",-373,-235,-608,"698,255","715,999","1,414,254","697,904","715,702","1,413,606",-351,-297,-648,"697,904","715,702","1,413,606","697,557","715,429","1,412,986",-347,-273,-620,"697,557","715,429","1,412,986","697,079","714,984","1,412,063",-478,-445,-923,"697,079","714,984","1,412,063","696,711","714,646","1,411,357",-368,-338,-706,"696,711","714,646","1,411,357","696,227","714,321","1,410,548",-484,-325,-809,"696,227","714,321","1,410,548","695,854","713,770","1,409,624",-373,-551,-924,"695,854","713,770","1,409,624","695,224","713,198","1,408,422",-630,-572,"-1,202","695,224","713,198","1,408,422","694,532","712,565","1,407,097",-692,-633,"-1,325","694,532","712,565","1,407,097","693,552","711,674","1,405,226",-980,-891,"-1,871","693,552","711,674","1,405,226","692,193","710,285","1,402,478","-1,359","-1,389","-2,748","692,193","710,285","1,402,478","691,334","709,493","1,400,827",-859,-792,"-1,651","691,334","709,493","1,400,827","690,826","709,054","1,399,880",-508,-439,-947,"690,826","709,054","1,399,880","690,429","708,653","1,399,082",-397,-401,-798,"690,429","708,653","1,399,082","690,124","708,414","1,398,538",-305,-239,-544,"690,124","708,414","1,398,538","689,731","708,041","1,397,772",-393,-373,-766,"689,731","708,041","1,397,772","689,326","707,796","1,397,122",-405,-245,-650,"689,326","707,796","1,397,122","688,690","707,179","1,395,869",-636,-617,"-1,253","688,690","707,179","1,395,869","687,996","706,305","1,394,301",-694,-874,"-1,568","687,996","706,305","1,394,301","686,799","705,214","1,392,013","-1,197","-1,091","-2,288"
광주광역시 동구 (2911000000),"52,785","54,380","107,165","52,830","54,346","107,176",45,-34,11,"52,830","54,346","107,176","52,795","54,357","107,152",-35,11,-24,"52,795","54,357","107,152","52,677","54,344","107,021",-118,-13,-131,"52,677","54,344","107,021","52,625","54,230","106,855",-52,-114,-166,"52,625","54,230","106,855","52,561","54,129","106,690",-64,-101,-165,"52,561","54,129","106,690","52,463","54,130","106,593",-98,1,-97,"52,463","54,130","106,593","52,364","54,098","106,462",-99,-32,-131,"52,364","54,098","106,462","52,309","54,079","106,388",-55,-19,-74,"52,309","54,079","106,388","52,235","54,051","106,286",-74,-28,-102,"52,235","54,051","106,286","52,294","54,060","106,354",59,9,68,"52,294","54,060","106,354","52,301","54,112","106,413",7,52,59,"52,301","54,112","106,413","52,308","54,105","106,413",7,-7,0,"52,308","54,105","106,413","52,218","53,985","106,203",-90,-120,-210,"52,218","53,985","106,203","52,047","53,863","105,910",-171,-122,-293,"52,047","53,863","105,910","51,936","53,851","105,787",-111,-12,-123,"51,936","53,851","105,787","51,744","53,738","105,482",-192,-113,-305,"51,744","53,738","105,482","51,541","53,610","105,151",-203,-128,-331,"51,541","53,610","105,151","51,462","53,581","105,043",-79,-29,-108,"51,462","53,581","105,043","51,349","53,519","104,868",-113,-62,-175,"51,349","53,519","104,868","51,411","53,531","104,942",62,12,74,"51,411","53,531","104,942","51,472","53,562","105,034",61,31,92,"51,472","53,562","105,034","51,436","53,596","105,032",-36,34,-2,"51,436","53,596","105,032","51,500","53,648","105,148",64,52,116,"51,500","53,648","105,148","51,449","53,605","105,054",-51,-43,-94,"51,449","53,605","105,054","51,344","53,544","104,888",-105,-61,-166
